iter	Passed	Remaining
0	147	147495
1	148	74205
2	149	49667
3	150	37373
4	150	30007
5	151	25085
6	152	21580
7	152	18951
8	153	16907
9	154	15279
10	155	13937
11	156	12845
12	156	11900
13	157	11095
14	158	10385
15	159	9818
16	161	9335
17	163	8923
18	164	8493
19	165	8120
20	166	7776
21	167	7457
22	168	7158
23	169	6879
24	169	6620
25	170	6386
26	171	6170
27	172	5972
28	172	5782
29	173	5603
30	173	5438
31	175	5311
32	177	5195
33	178	5066
34	179	4940
35	179	4816
36	180	4698
37	181	4592
38	182	4502
39	183	4402
40	184	4305
41	184	4212
42	185	4122
43	185	4037
44	186	3955
45	187	3881
46	187	3809
47	188	3746
48	189	3678
49	190	3611
50	190	3549
51	191	3488
52	191	3429
53	192	3373
54	193	3319
55	193	3267
56	194	3216
57	195	3167
58	195	3124
59	198	3103
60	199	3071
61	200	3030
62	200	2988
63	201	2947
64	202	2909
65	202	2871
66	203	2833
67	203	2795
68	205	2773
69	206	2743
70	208	2729
71	209	2700
72	210	2667
73	210	2635
74	211	2605
75	211	2576
76	213	2557
77	214	2540
78	216	2529
79	217	2504
80	218	2477
81	218	2450
82	219	2424
83	219	2398
84	220	2373
85	221	2355
86	223	2347
87	225	2335
88	226	2313
89	226	2291
90	227	2269
91	227	2249
92	228	2229
93	229	2214
94	231	2203
95	232	2190
96	233	2171
97	233	2152
98	234	2133
99	235	2115
100	235	2097
101	236	2085
102	238	2080
103	241	2083
104	242	2067
105	243	2051
106	243	2034
107	244	2019
108	245	2008
109	247	2000
110	250	2005
111	250	1990
112	251	1974
113	252	1960
114	252	1945
115	253	1934
116	255	1931
117	256	1919
118	257	1907
119	258	1894
120	258	1880
121	259	1867
122	259	1852
123	260	1840
124	262	1834
125	264	1838
126	266	1832
127	267	1819
128	267	1807
129	268	1796
130	269	1785
131	270	1779
132	272	1776
133	274	1775
134	275	1765
135	276	1755
136	276	1744
137	277	1732
138	278	1724
139	280	1720
140	282	1721
141	283	1712
142	325	1948
143	326	1939
144	327	1932
145	328	1921
146	329	1914
147	330	1903
148	331	1893
149	332	1884
150	333	1877
151	345	1926
152	346	1915
153	346	1905
154	347	1896
155	350	1897
156	351	1887
157	352	1877
158	352	1866
159	353	1855
160	354	1845
161	354	1834
162	355	1824
163	355	1814
164	357	1806
165	357	1797
166	358	1788
167	359	1779
168	360	1772
169	361	1763
170	361	1754
171	362	1744
172	363	1735
173	363	1726
174	364	1718
175	366	1715
176	367	1709
177	368	1703
178	369	1695
179	370	1686
180	370	1676
181	371	1667
182	371	1659
183	372	1651
184	373	1645
185	374	1639
186	375	1632
187	376	1625
188	377	1621
189	378	1613
190	379	1605
191	379	1597
192	380	1589
193	380	1581
194	381	1576
